Date,TOTAL_REVENUE_USD
2019-08-05,2557438.8805128206
2019-08-12,2472462.312307692
2019-08-19,2387485.7441025637
2019-08-26,2302509.1758974358
2019-09-02,2217532.607692308
2019-09-09,2132556.0394871794
2019-09-16,2047579.4712820512
2019-09-23,1962602.903076923
2019-09-30,1877626.3348717946
2019-10-07,1792649.7666666666
2019-10-14,1707673.1984615382
2019-10-21,1622696.6302564102
2019-10-28,1537720.0620512818
2019-11-04,1452743.4938461538
2019-11-11,1367766.9256410254
2019-11-18,1282790.3574358975
2019-11-25,1197813.789230769
2019-12-02,1112837.2210256406
2019-12-09,1027860.6528205127
2019-12-16,942884.0846153842
2019-12-23,857907.5164102563
2019-12-30,772930.9482051278
2020-01-06,687954.38
2020-01-13,139860.76
2020-01-20,618933.94
2020-01-27,1132323.19
2020-02-03,585587.09
2020-02-10,38850.99
2020-02-17,1072242.07
2020-02-24,2584047.66
2020-03-02,0.0
2020-03-09,565608.61
2020-03-16,132397.67
2020-03-23,-1117.1199999999994
2020-03-30,3105994.02
2020-04-06,1297177.22
2020-04-13,1263916.2656410257
2020-04-20,1230655.3112820513
2020-04-27,1197394.3569230768
2020-05-04,1164133.4025641026
2020-05-11,1130872.448205128
2020-05-18,1097611.4938461538
2020-05-25,1064350.5394871794
2020-06-01,1031089.5851282051
2020-06-08,997828.6307692307
2020-06-15,964567.6764102564
2020-06-22,931306.722051282
2020-06-29,898045.7676923077
2020-07-06,864784.8133333332
2020-07-13,831523.858974359
2020-07-20,798262.9046153845
2020-07-27,765001.9502564103
2020-08-03,731740.9958974359
2020-08-10,698480.0415384615
2020-08-17,665219.0871794871
2020-08-24,631958.1328205128
2020-08-31,598697.1784615384
2020-09-07,565436.224102564
2020-09-14,532175.2697435897
2020-09-21,498914.3153846153
2020-09-28,465653.361025641
2020-10-05,432392.4066666666
2020-10-12,399131.45230769226
2020-10-19,365870.4979487179
2020-10-26,332609.54358974355
2020-11-02,299348.5892307692
2020-11-09,266087.63487179484
2020-11-16,232826.6805128206
2020-11-23,199565.72615384613
2020-11-30,166304.7717948719
2020-12-07,133043.81743589742
2020-12-14,99782.86307692295
2020-12-21,66521.90871794871
2020-12-28,33260.95435897424
2021-01-04,0.0
2021-01-11,-1139925.38
2021-01-18,98199.8
2021-01-25,2294451.91
2021-02-01,697.7500000000291
2021-02-08,109439.43000000001
2021-02-15,1018149.19
2021-02-22,3361185.2
2021-03-01,-0.010000000009313226
2021-03-08,99134.62
2021-03-15,1279566.79
2021-03-22,229499.63
2021-03-29,8945887.23
2021-04-05,8737492.679
2021-04-12,8529098.128
