Date,Actual,Forecast
2018-12-03,1701162.73875,1749945.0340020843
2018-12-10,1640189.0129999998,1694576.486711935
2018-12-17,1579215.28725,1639352.7686042937
2018-12-24,1518241.5614999998,1584292.429624182
2018-12-31,1457267.8357499996,1619967.5921841238
2019-01-07,1396294.1099999999,1004228.7644779661
2019-01-14,1584903.1,1389079.8273815871
2019-01-21,-960266.22,2673633.778934726
2019-01-28,3784211.17,-191542.84817415243
2019-02-04,0.0,1993232.416705692
2019-02-11,2084356.0,238821.29787358653
2019-02-18,1010027.3299999998,4669362.249570767
2019-02-25,5540258.22,-291429.79924367974
2019-03-04,0.0,2212519.7504659053
2019-03-11,1503464.85,2238985.828622724
2019-03-18,931171.2000000001,689606.2298381183
2019-03-25,1228377.48,4191602.177883877
2019-04-01,9891071.91,1226767.9688928286
2019-04-08,4002040.54,4704468.573625049
2019-04-15,3917063.9717948716,4307379.742190154
2019-04-22,3832087.4035897437,4046920.156789988
2019-04-29,3747110.835384615,3864052.190850063
2019-05-06,3662134.2671794873,3725249.265263385
2019-05-13,3577157.698974359,3611472.2685245858
2019-05-20,3492181.130769231,3511909.3424448525
2019-05-27,3407204.5625641025,3420420.7726656515
2019-06-03,3322227.9943589745,3333520.088811552
2019-06-10,3237251.426153846,3249227.562046978
2019-06-17,3152274.8579487177,3166419.1260219547
2019-06-24,3067298.2897435897,3084456.641636798
2019-07-01,2982321.7215384617,3002977.932559125
2019-07-08,2897345.1533333333,2921777.5518973293
2019-07-15,2812368.585128205,2840739.0735353073
2019-07-22,2727392.016923077,2759796.643431489
2019-07-29,2642415.448717949,2678913.147173746
2019-08-05,2557438.8805128206,2598067.813682727
2019-08-12,2472462.312307692,2517249.177640331
2019-08-19,2387485.744102564,2436451.0851773145
2019-08-26,2302509.1758974358,2355670.4279359966
2019-09-02,2217532.607692308,2274905.8588358755
2019-09-09,2132556.0394871794,2194157.065545598
2019-09-16,2047579.4712820512,2113424.3609078424
2019-09-23,1962602.903076923,2032708.4536246255
2019-09-30,1877626.334871795,1952010.3216069534
2019-10-07,1792649.7666666666,1871331.1439557807
2019-10-14,1707673.1984615382,1790672.2666030892
2019-10-21,1622696.6302564102,1710035.1874719248
2019-10-28,1537720.0620512818,1629421.5531678686
2019-11-04,1452743.4938461538,1548833.1627144972
2019-11-11,1367766.9256410254,1468271.9758396428
2019-11-18,1282790.3574358975,1387740.1244578594
2019-11-25,1197813.789230769,1307239.9266496347
2019-12-02,1112837.221025641,1226773.902818824
2019-12-09,1027860.6528205127,1146344.7939371183
2019-12-16,942884.0846153847,1065955.5819255204
2019-12-23,857907.5164102563,985609.5123172157
2019-12-30,772930.9482051283,940055.3952733893
2020-01-06,687954.38,621806.6308545794
2020-01-13,139860.76,820353.8232663083
2020-01-20,618933.94,182603.38119953143
2020-01-27,1132323.19,1443758.6233162247
2020-02-03,585587.09,230242.83379380626
2020-02-10,38850.99,713051.1901547711
2020-02-17,1072242.07,1674743.9077664558
2020-02-24,2584047.66,1531331.579936799
