Date,Actual,Forecast
2019-02-11,2084356.0,787492.7
2019-02-18,1010027.3299999998,549856.44
2019-02-25,5540258.22,822819.1
2019-03-04,0.0,1.6102332e+06
2019-03-11,1503464.85,1.0289024e+06
2019-03-18,931171.2000000001,957719.44
2019-03-25,1228377.48,749254.06
2019-04-01,9891071.91,574848.0
2019-04-08,4002040.54,1.7085798e+06
2019-04-15,3917063.9717948716,1.6109045e+06
2019-04-22,3832087.4035897437,1.5641962e+06
2019-04-29,3747110.835384615,1.5301212e+06
2019-05-06,3662134.2671794873,1.4943959e+06
2019-05-13,3577157.698974359,1.4516208e+06
2019-05-20,3492181.130769231,1.4008352e+06
2019-05-27,3407204.5625641025,1.3432216e+06
2019-06-03,3322227.9943589745,1.280846e+06
2019-06-10,3237251.426153846,1.2159874e+06
2019-06-17,3152274.8579487177,1.1507964e+06
2019-06-24,3067298.2897435897,1.087137e+06
2019-07-01,2982321.7215384617,1.0265285e+06
2019-07-08,2897345.1533333333,970136.1
2019-07-15,2812368.585128205,918784.4
2019-07-22,2727392.016923077,872979.44
2019-07-29,2642415.448717949,832940.1
2019-08-05,2557438.8805128206,798626.5
2019-08-12,2472462.312307692,769770.0
2019-08-19,2387485.744102564,745911.9
2019-08-26,2302509.1758974358,726435.6
2019-09-02,2217532.607692308,710609.75
2019-09-09,2132556.0394871794,697625.06
2019-09-16,2047579.4712820512,686639.5
2019-09-23,1962602.903076923,676816.06
2019-09-30,1877626.334871795,667360.56
2019-10-07,1792649.7666666666,657556.5
2019-10-14,1707673.1984615382,646789.4
2019-10-21,1622696.6302564102,634565.7
2019-10-28,1537720.0620512818,620526.1
2019-11-04,1452743.4938461538,604445.56
2019-11-11,1367766.9256410254,586230.6
2019-11-18,1282790.3574358975,565905.75
2019-11-25,1197813.789230769,543600.06
2019-12-02,1112837.221025641,519522.94
2019-12-09,1027860.6528205127,493945.7
2019-12-16,942884.0846153847,467177.97
2019-12-23,857907.5164102563,439546.72
2019-12-30,772930.9482051283,411379.0
2020-01-06,687954.38,382986.22
2020-01-13,139860.76,354651.22
2020-01-20,618933.94,-80792.234
2020-01-27,1132323.19,110901.93
2020-02-03,585587.09,1.0834724e+06
2020-02-10,38850.99,763551.8
2020-02-17,1072242.07,656131.25
2020-02-24,2584047.66,954369.4
2020-03-02,0.0,2.1072992e+06
2020-03-09,565608.61,1.3832702e+06
2020-03-16,132397.67,1.0553301e+06
2020-03-23,-1117.1199999999994,1.3186902e+06
2020-03-30,3105994.02,1.0321876e+06
2020-04-06,1297177.22,4.747644e+06
2020-04-13,1263916.2656410257,6.822023e+06
2020-04-20,1230655.3112820513,7.6529115e+06
2020-04-27,1197394.3569230768,7.8090155e+06
2020-05-04,1164133.4025641026,7.6958645e+06
2020-05-11,1130872.4482051283,7.4973345e+06
2020-05-18,1097611.4938461538,7.274414e+06
2020-05-25,1064350.5394871794,7.044957e+06
2020-06-01,1031089.5851282051,6.8151355e+06
2020-06-08,997828.6307692308,6.587464e+06
2020-06-15,964567.6764102564,6.3627385e+06
2020-06-22,931306.7220512821,6.1408975e+06
2020-06-29,898045.7676923077,5.9215955e+06
2020-07-06,864784.8133333334,5.704477e+06
2020-07-13,831523.858974359,5.4892925e+06
2020-07-20,798262.9046153846,5.2759025e+06
2020-07-27,765001.9502564103,5.0642625e+06
2020-08-03,731740.9958974359,4.854386e+06
2020-08-10,698480.0415384616,4.646322e+06
2020-08-17,665219.0871794872,4.440135e+06
2020-08-24,631958.1328205129,4.2358935e+06
2020-08-31,598697.1784615385,4.033664e+06
2020-09-07,565436.2241025642,3.8335002e+06
2020-09-14,532175.2697435898,3.6354502e+06
2020-09-21,498914.31538461545,3.4395515e+06
2020-09-28,465653.3610256411,3.24583e+06
2020-10-05,432392.40666666673,3.054305e+06
2020-10-12,399131.4523076924,2.8649925e+06
2020-10-19,365870.497948718,2.677903e+06
2020-10-26,332609.54358974367,2.4930465e+06
2020-11-02,299348.5892307693,2.310435e+06
2020-11-09,266087.63487179496,2.1300825e+06
2020-11-16,232826.6805128206,1.9520074e+06
2020-11-23,199565.72615384613,1.7762335e+06
2020-11-30,166304.7717948719,1.6027874e+06
2020-12-07,133043.81743589742,1.4316998e+06
2020-12-14,99782.86307692318,1.2630039e+06
2020-12-21,66521.90871794871,1.0967306e+06
2020-12-28,33260.95435897447,932907.44
2021-01-04,0.0,771555.94
2021-01-11,-1139925.38,612687.5
2021-01-18,98199.8,375422.6
2021-01-25,2294451.91,430567.56
2021-02-01,697.7500000000291,1.3857281e+06
2021-02-08,109439.43000000001,803377.5
2021-02-15,1018149.19,1.2695061e+06
2021-02-22,3361185.2,826865.94
2021-03-01,-0.010000000009313226,1.600001e+06
2021-03-08,99134.62,1.2835134e+06
2021-03-15,1279566.79,845179.1
2021-03-22,229499.63,751899.44
2021-03-29,8945887.23,686369.25
2021-04-05,8737492.679,5.660494e+06
2021-04-12,8529098.128,8.536263e+06
2021-04-19,8320703.5770000005,9.610334e+06
2021-04-26,8112309.026000001,9.686855e+06
2021-05-03,7903914.475000001,9.421949e+06
2021-05-10,7695519.924000001,9.101631e+06
2021-05-17,7487125.373,8.793639e+06
2021-05-24,7278730.822000001,8.501458e+06
2021-05-31,7070336.271,8.2210295e+06
2021-06-07,6861941.72,7.949194e+06
2021-06-14,6653547.169,7.683161e+06
2021-06-21,6445152.618,7.420447e+06
2021-06-28,6236758.067,7.1591495e+06
2021-07-05,6028363.516,6.898014e+06
2021-07-12,5819968.965,6.6363325e+06
2021-07-19,5611574.414,6.3737785e+06
2021-07-26,5403179.863,6.1102755e+06
2021-08-02,5194785.312,5.845887e+06
2021-08-09,4986390.761,5.580752e+06
2021-08-16,4777996.209999999,5.3150435e+06
2021-08-23,4569601.659,5.048946e+06
2021-08-30,4361207.108,4.7826485e+06
2021-09-06,4152812.557,4.5163385e+06
2021-09-13,3944418.005999999,4.250206e+06
2021-09-20,3736023.454999999,3.9844435e+06
2021-09-27,3527628.903999999,3.719256e+06
2021-10-04,3319234.352999999,3.4548618e+06
2021-10-11,3110839.801999999,3.1915002e+06
2021-10-18,2902445.250999999,2.9294365e+06
2021-10-25,2694050.6999999993,2.668962e+06
2021-11-01,2485656.1489999993,2.410405e+06
2021-11-08,2277261.5979999993,2.154124e+06
2021-11-15,2068867.0469999993,1.9005135e+06
2021-11-22,1860472.4959999993,1.65e+06
2021-11-29,1652077.9449999994,1.4030366e+06
2021-12-06,1443683.3939999994,1.1600961e+06
2021-12-13,1235288.8429999994,921659.8
2021-12-20,1026894.2919999994,688203.44
2021-12-27,818499.7409999995,460181.03
2022-01-03,610105.19,238005.97
2022-01-10,191929.37000000005,22033.926
2022-01-17,650706.7800000001,5482.8
2022-01-24,2876976.16,157909.55
2022-01-31,0.0,990242.4
2022-02-07,1847898.27,604754.94
2022-02-14,-1638.2500000000005,458769.3
2022-02-21,2464654.8099999996,356255.34
2022-02-28,562792.4800000001,2.8794138e+06
2022-03-07,-187790.9299999999,1.819181e+06
2022-03-14,212277.93000000002,1.3365242e+06
2022-03-21,222063.44,1.0590805e+06
2022-03-28,11139884.5,894863.0
2022-04-04,10861387.3875,4.830083e+06
2022-04-11,10582890.275,3.8363112e+06
2022-04-18,10304393.1625,3.330765e+06
2022-04-25,10025896.05,3.053147e+06
2022-05-02,9747398.9375,2.851222e+06
2022-05-09,9468901.825,2.6720965e+06
2022-05-16,9190404.7125,2.5002385e+06
2022-05-23,8911907.6,2.3329328e+06
2022-05-30,8633410.4875,2.1715102e+06
2022-06-06,8354913.375,2.0181536e+06
2022-06-13,8076416.2625,1.8748286e+06
2022-06-20,7797919.15,1.7430082e+06
2022-06-27,7519422.0375,1.6236685e+06
2022-07-04,7240924.925000001,1.5173454e+06
2022-07-11,6962427.8125,1.424193e+06
2022-07-18,6683930.7,1.3440201e+06
2022-07-25,6405433.5875,1.2763226e+06
2022-08-01,6126936.475000001,1.2202979e+06
2022-08-08,5848439.3625,1.1748731e+06
2022-08-15,5569942.25,1.1387346e+06
