Date,Actual,Forecast
2019-07-29,2642415.448717949,2775225.922505025
2019-08-05,2557438.8805128206,2699700.0959560988
2019-08-12,2472462.312307692,2624178.277503373
2019-08-19,2387485.744102564,2548658.432893436
2019-08-26,2302509.1758974358,2473139.5603298675
2019-09-02,2217532.607692308,2397621.1664640685
2019-09-09,2132556.0394871794,2322103.0083396533
2019-09-16,2047579.4712820512,2246584.966309364
2019-09-23,1962602.903076923,2171066.981451245
2019-09-30,1877626.334871795,2095549.0247483565
2019-10-07,1792649.7666666666,2020031.081910904
2019-10-14,1707673.1984615382,1944513.145901678
2019-10-21,1622696.6302564102,1868995.2132551074
2019-10-28,1537720.0620512818,1793477.2822645232
2019-11-04,1452743.4938461538,1717959.3520894528
2019-11-11,1367766.9256410254,1642441.4223159933
2019-11-18,1282790.3574358975,1566923.4927403128
2019-11-25,1197813.789230769,1491405.5632620314
2019-12-02,1112837.221025641,1415887.6338317154
2019-12-09,1027860.6528205127,1340369.7044250206
2019-12-16,942884.0846153847,1264851.7750299585
2019-12-23,857907.5164102563,1189333.8456406253
2019-12-30,772930.9482051283,1113815.9162541132
2020-01-06,687954.38,1038297.9868689901
2020-01-13,139860.76,962780.0574845513
2020-01-20,618933.94,678376.4935685156
2020-01-27,1132323.19,754400.5301171069
2020-02-03,585587.09,1023400.1756311334
2020-02-10,38850.99,909271.388739638
2020-02-17,1072242.07,606465.6700575917
2020-02-24,2584047.66,923448.4341839312
2020-03-02,0.0,1761440.1111952225
2020-03-09,565608.61,1008604.5630788207
2020-03-16,132397.67,892973.9327611423
2020-03-23,-1117.1199999999994,640633.3219866748
2020-03-30,3105994.02,456143.7829578947
2020-04-06,1297177.22,1766729.6015694817
2020-04-13,1263916.2656410257,1596291.9554348586
2020-04-20,1230655.3112820513,1497355.4475479987
2020-04-27,1197394.3569230768,1433630.6708798774
2020-05-04,1164133.4025641026,1387246.4015911543
2020-05-11,1130872.4482051283,1349401.7066365369
2020-05-18,1097611.4938461538,1315762.4439805357
2020-05-25,1064350.5394871794,1284194.2050227073
2020-06-01,1031089.5851282051,1253645.8705250714
2020-06-08,997828.6307692308,1223599.80218153
2020-06-15,964567.6764102564,1193801.0817998766
