Date,Actual,Forecast
2019-05-27,3407204.5625641025,3556506.835291738
2019-06-03,3322227.9943589745,3402581.998927568
2019-06-10,3237251.426153846,3588092.4108711914
2019-06-17,3152274.8579487177,3666681.615180714
2019-06-24,3067298.2897435897,3386437.020037543
2019-07-01,2982321.7215384617,2996306.681797469
2019-07-08,2897345.1533333333,2874880.3391183256
2019-07-15,2812368.585128205,3023230.9637519643
2019-07-22,2727392.016923077,3090514.3697870364
2019-07-29,2642415.448717949,2859130.6009146147
2019-08-05,2557438.8805128206,2522679.779921687
2019-08-12,2472462.312307692,2403037.4345046305
2019-08-19,2387485.744102564,2511613.4360020687
2019-08-26,2302509.1758974358,2546949.844576241
2019-09-02,2217532.607692308,2315113.0356620974
2019-09-09,2132556.0394871794,1993060.683702261
2019-09-16,2047579.4712820512,1881118.226741328
2019-09-23,1962602.903076923,1988146.3676280002
2019-09-30,1877626.334871795,2017352.1779625556
2019-10-07,1792649.7666666666,1773709.3458107202
2019-10-14,1707673.1984615382,1418415.577246096
2019-10-21,1622696.6302564102,1285515.4496965369
2019-10-28,1537720.0620512818,1390140.2512941572
2019-11-04,1452743.4938461538,1413470.8769528496
2019-11-11,1367766.9256410254,1132803.2322711293
2019-11-18,1282790.3574358975,739320.3388224152
2019-11-25,1197813.789230769,594258.1804599847
2019-12-02,1112837.221025641,727790.1901743996
2019-12-09,1027860.6528205127,762684.104211555
2019-12-16,942884.0846153847,405892.92369460646
2019-12-23,857907.5164102563,-157461.6333485939
2019-12-30,772930.9482051283,-396792.6202618751
2020-01-06,687954.38,-172970.12245876336
2020-01-13,139860.76,91103.77822693254
2020-01-20,618933.94,-42798.22049808721
2020-01-27,1132323.19,-410842.4293320253
2020-02-03,585587.09,-412443.61588812724
2020-02-10,38850.99,161071.62393609702
2020-02-17,1072242.07,686290.8245754364
2020-02-24,2584047.66,347294.49144541693
2020-03-02,0.0,-784608.7967549841
2020-03-09,565608.61,-1552069.9859078866
2020-03-16,132397.67,-803009.0931993693
2020-03-23,-1117.1199999999994,1340584.6452938637
2020-03-30,3105994.02,3466678.330915169
2020-04-06,1297177.22,4198182.98011612
2020-04-13,1263916.2656410257,3458630.2162367343
2020-04-20,1230655.3112820513,2362152.4736588523
2020-04-27,1197394.3569230768,1955016.8931152108
2020-05-04,1164133.4025641026,2243885.699895437
2020-05-11,1130872.4482051283,2499017.7543282406
2020-05-18,1097611.4938461538,2211564.027425277
2020-05-25,1064350.5394871794,1657166.651438558
2020-06-01,1031089.5851282051,1389860.806206562
2020-06-08,997828.6307692308,1510056.5857406964
2020-06-15,964567.6764102564,1607524.896073676
2020-06-22,931306.7220512821,1353650.4832909275
2020-06-29,898045.7676923077,918589.7139598386
2020-07-06,864784.8133333334,702229.45066351
2020-07-13,831523.858974359,790954.3335672922
2020-07-20,798262.9046153846,866904.7640922504
2020-07-27,765001.9502564103,772312.5281957047
2020-08-03,731740.9958974359,514473.3128565954
2020-08-10,698480.0415384616,429385.18694238516
2020-08-17,665219.0871794872,601209.3856395677
2020-08-24,631958.1328205129,759612.4845387801
2020-08-31,598697.1784615385,659332.0127589456
2020-09-07,565436.2241025642,415216.1393978651
2020-09-14,532175.2697435898,339758.6775922538
2020-09-21,498914.31538461545,511262.317994177
2020-09-28,465653.3610256411,664284.3888074047
2020-10-05,432392.40666666673,597780.0869075232
2020-10-12,399131.4523076924,383375.29994451394
2020-10-19,365870.497948718,347015.0842701647
2020-10-26,332609.54358974367,576970.9170370654
2020-11-02,299348.5892307693,790606.2590563274
2020-11-09,266087.63487179496,712258.3238044903
2020-11-16,232826.6805128206,460234.5803866203
2020-11-23,199565.72615384613,404051.6000531703
2020-11-30,166304.7717948719,657906.1146145603
2020-12-07,133043.81743589742,892566.0488273184
2020-12-14,99782.86307692318,760013.3572006458
2020-12-21,66521.90871794871,378947.262744423
2020-12-28,33260.95435897447,241978.12642526548
2021-01-04,0.0,589573.0446179498
2021-01-11,-1139925.38,1076761.0072697063
2021-01-18,98199.8,1210879.5925261164
2021-01-25,2294451.91,1031867.1972220363
2021-02-01,697.7500000000291,1115033.9357351458
2021-02-08,109439.43000000001,1797809.424010899
2021-02-15,1018149.19,2589240.6468615853
2021-02-22,3361185.2,2623639.0508993897
2021-03-01,-0.010000000009313226,1759404.7402667936
2021-03-08,99134.62,1009991.5756276955
2021-03-15,1279566.79,1638562.691891518
2021-03-22,229499.63,3799807.641275099
2021-03-29,8945887.23,6240824.925484275
2021-04-05,8737492.679,7460539.292374742
2021-04-12,8529098.128,7111103.714746289
2021-04-19,8320703.5770000005,6169074.52712935
2021-04-26,8112309.026000001,5792497.513167046
2021-05-03,7903914.475000001,6051285.12770404
2021-05-10,7695519.924000001,6400080.188623655
2021-05-17,7487125.373,6237926.064832457
2021-05-24,7278730.822000001,5715396.189900038
2021-05-31,7070336.271,5398505.650108736
2021-06-07,6861941.72,5498890.917421183
2021-06-14,6653547.169,5663939.272511731
2021-06-21,6445152.618,5503206.840509901
2021-06-28,6236758.067,5098149.076137285
2021-07-05,6028363.516,4850343.688741822
2021-07-12,5819968.965,4928357.496136136
2021-07-19,5611574.414,5050027.703640751
2021-07-26,5403179.863,4906111.639205418
2021-08-02,5194785.312,4548296.866679156
